0.966335,0.966335,0.966335,0.966335,0.966335,0.966335
0.389375,0.573704,0.84402,0.228454,0.957575,0.808419
0.736728,0.747723,0.284371,0.489893,0.807331,0.762952
0.776887,0.939637,0.860375,0.447857,0.807721,0.784502
0.111328,0.178112,0.000341298,0.00407795,0.0023421,0.000848475
0.256302,0.272052,0.482651,0.474175,0.341882,0.107214
0.771335,0.9733,0.370323,0.474733,0.31001,0.964398
0.972735,0.912409,0.832409,0.440355,0.531478,0.923311
0.611263,0.583625,0.267865,0.697791,0.875202,0.185544
0.884414,0.41369,0.358721,0.609061,0.996225,0.832427
