0.9999,0.42507,0.811647,0.998892,0.951695,0.9999,0.9999,0.514454,0.999865,0.9999
0.9999,0.9999,0.484175,0.9999,0.452936,0.185679,0.001,0.978894,0.0568901,0.934366
0.160957,0.999324,0.996859,0.999325,0.957084,0.9991,0.00463027,0.00401504,0.977349,0.994277
0.236758,0.796387,0.999404,0.968201,0.9947,0.9999,0.99966,0.943089,0.502452,0.454015
0.117979,0.0728779,0.893979,0.998953,0.966765,0.99976,0.999327,0.9999,0.837872,0.40583
0.999341,0.00173165,0.914765,0.998014,0.852257,0.9999,0.9999,0.977414,0.973002,0.895453
0.9999,0.981501,0.902979,0.0163682,0.999405,0.999701,0.0020336,0.96834,0.999347,0.675312
0.998028,0.999033,0.999808,0.9999,0.997806,0.614335,0.970158,0.073023,0.948393,0.362876
0.9999,0.998764,0.9999,0.9999,0.9999,0.998784,0.99985,0.997631,0.00805135,0.755117
0.998118,0.983518,0.923078,0.999803,0.336953,0.867019,0.344125,0.251955,0.80984,0.166186
0.00223969,0.407544,0.9999,0.9999,0.999032,0.9999,0.997698,0.9999,0.9999,0.999237
0.330055,0.998205,0.917502,0.971978,0.774231,0.997616,0.00127143,0.9999,0.9999,0.999384
0.9999,0.999778,0.621267,0.9999,0.975723,0.95274,0.232715,0.9999,0.997614,0.301639
0.987662,0.94696,0.529742,0.9999,0.188211,0.9999,0.999856,0.000333239,0.00116605,0.835267
0.644278,0.943087,0.967071,0.307709,0.98243,0.0382891,0.997964,0.998741,0.9999,0.682113
0.9999,0.715346,0.9999,0.99972,0.94544,0.984981,0.986809,0.976985,0.9999,0.998662
0.999794,0.9999,0.27038,0.122976,0.623815,0.9999,0.890345,0.00401504,0.997531,0.822172
0.994185,0.999686,0.998399,0.999,0.830925,0.11269,0.999,0.998023,0.9999,0.99762
0.998089,0.999847,0.968186,0.973741,0.652039,0.870501,0.0283512,0.9999,0.980782,0.9999
0.992954,0.640772,0.999718,0.9999,0.55922,0.244359,0.999274,0.915357,0.831426,0.0169271
0.976726,0.997811,0.753605,0.999763,0.696945,0.940912,0.976675,0.942682,0.980701,0.972343
